marketDate,securityType,symbol,downRom,upRom,Kurtosis,VaR,Beta
2024-10-31,Other,GXC,-1.0,1.0,9.03057,0.47317,0.54487
2024-10-31,Other,GXG,-1.0,1.0,0.9545,0.31664,0.57501
2024-10-31,CS,GXO,-0.3954,0.55579,7.49878,0.54184,1.15775
2024-10-31,Other,GXTG,-1.0,1.0,-0.08591,0.35673,1.08153
2024-10-31,Other,GXUS,-1.0,1.0,0.77635,0.19642,0.81894
2024-10-31,Other,GYLD,-1.0,1.0,5.53142,0.24402,0.20809
2024-10-31,CS,GYRE,-1.30184,1.0,4.97709,2.01927,2.35229
2024-10-31,CS,GYRO,-0.50449,1.08611,32.55852,0.87641,0.06459
2024-10-31,CS,H,-0.41746,0.45397,6.50038,0.43689,1.16143
2024-10-31,Other,HACK,-1.0,1.0,1.56025,0.27675,1.08988
2024-10-31,CS,HAE,-0.4528,0.42354,4.87498,0.49092,0.61142
2024-10-31,CS,HAFC,-0.45418,0.56672,2.30235,0.58893,1.08429
2024-10-31,CS,HAFN,-0.48978,0.41663,1.63023,0.59684,1.00063
2024-10-31,CS,HAIA,-0.23572,0.2831,1.87688,0.1274,-0.04497
2024-10-31,Other,HAIAU,-1.0,1.0,0.65202,0.71455,-1.16964
2024-10-31,Other,HAIAW,-1.0,1.0,6.0534,7.89782,9.57978
2024-10-31,Other,HAIL,-1.0,1.0,-0.09138,0.45815,1.64506
2024-10-31,CS,HAIN,-0.62683,0.68055,5.50757,0.8601,0.54536
2024-10-31,CS,HAL,-0.4088,0.38508,0.64336,0.45255,0.64417
2024-10-31,CS,HALO,-0.48373,0.57059,5.36455,0.57378,0.92118
2024-10-31,CS,HAO,-1.0,1.0,11.51572,3.16578,-1.74799
2024-10-31,Other,HAP,-1.0,1.0,0.46553,0.22947,0.63098
2024-10-31,Other,HAPI,-1.0,1.0,1.5643,0.18826,0.99849
2024-10-31,Other,HAPR,-1.0,1.0,7.20407,0.05369,0.19793
